open,high,low,close,volume,macd,macds,macdh
0.509347,0.509347,0.508064,0.508654,2331066300.8191056,0.0,0.0,0.0
0.508843,0.50988,0.508791,0.50988,2262941632.3969135,2.750641025650591e-05,1.528133903139217e-05,1.2225071225113737e-05
0.510237,0.510783,0.510044,0.510044,2242189089.6503854,4.01342565139462e-05,2.546696095047169e-05,1.466729556347451e-05
0.510002,0.510071,0.508818,0.508818,2197593830.986553,6.297967708457364e-07,1.7053287447888372e-05,-1.6423490677042636e-05
0.508758,0.509214,0.507737,0.507737,2017809141.5635839,-6.38650724055223e-05,-7.018095183421321e-06,-5.684697722210099e-05
0.506689,0.506942,0.506514,0.506906,1831808186.9308496,-0.00013696883084646228,-4.224196966923994e-05,-9.472686117722233e-05
0.506397,0.508802,0.506397,0.508802,1715916232.5456026,-9.559974786410574e-05,-5.574539987436746e-05,-3.9854347989738284e-05
0.508358,0.508508,0.507501,0.507816,1537506010.005345,-0.00011321736206570954,-6.95569931494355e-05,-4.3660368916274034e-05
0.507902,0.509136,0.507902,0.509136,1424069065.6998613,-5.8204573309406094e-05,-6.693452784674347e-05,8.729954537337373e-06
0.509215,0.509606,0.50872,0.509606,1326566287.8977478,5.8762252274080495e-06,-5.0620692499718105e-05,5.6496917727126154e-05
0.510046,0.510055,0.508658,0.508658,1265608450.2646973,1.5943761348946595e-06,-3.9196333836029196e-05,4.0790709970923856e-05
0.50886,0.508929,0.508004,0.508004,1229281852.6673343,-3.7491400565303756e-05,-3.883018567161791e-05,1.338785106314155e-06
0.508117,0.509202,0.507872,0.509202,1181216064.3897316,1.6916950891232574e-06,-3.025434784929121e-05,3.194604293841447e-05
0.509209,0.509209,0.506793,0.507027,1145253116.9174182,-9.505587936253779e-05,-4.381087659130549e-05,-5.1245002771232294e-05
0.507186,0.507777,0.50668,0.507777,1124805130.2696104,-0.00012229905176974754,-6.008096445220995e-05,-6.221808731753759e-05
0.508316,0.508765,0.507183,0.507183,1110589709.5038817,-0.00017745974060390246,-8.423664154732625e-05,-9.322309905657621e-05
0.507047,0.507289,0.506976,0.506976,1093426368.9357085,-0.00023013529649473785,-0.00011408857839512883,-0.00011604671809960903
0.507631,0.509393,0.507631,0.509393,1082274858.2765841,-0.00011525954802471539,-0.00011432706857824541,-9.324794464699764e-07
0.50925,0.510312,0.509017,0.510312,1069822787.1248673,3.3378238115555625e-05,-8.435405052610671e-05,0.00011773228864166233
0.51093,0.512103,0.51093,0.511857,1068075524.4239367,0.00024824744118134845,-1.705788016474266e-05,0.0002653053213460911
0.511031,0.511769,0.510738,0.511769,1054381631.1351463,0.000405463871524403,6.823314099262409e-05,0.0003372307305317789
0.511903,0.511903,0.510242,0.510242,1027174879.201805,0.00041992577575655776,0.00013909453272863525,0.0002808312430279225
0.509347,0.510362,0.509347,0.510203,1006743616.1571406,0.0004235138001988936,0.00019631616310944377,0.00022719763708944985
0.509309,0.51043,0.509309,0.509661,1007847733.141486,0.000384040891814319,0.00023403925109676048,0.00015000164071755852
0.50935,0.509935,0.509074,0.509935,1001245595.4871324,0.0003678742182099404,0.0002609077508415081,0.00010696646736843226
0.510007,0.510007,0.50938,0.509654,996428525.4172299,0.0003312472439918057,0.0002750182959774268,5.622894801437893e-05
0.509747,0.510479,0.509747,0.5101,988291014.8626959,0.0003304523897303957,0.00028613198598161505,4.432040374878065e-05
0.51035,0.51035,0.509627,0.510143,975684966.3790787,0.00032905575435282497,0.000294733377166077,3.432237718674797e-05
0.510637,0.516312,0.510637,0.515867,1007891095.0443413,0.0007367628299461693,0.0003832762812297642,0.0003534865487164051
0.516385,0.517085,0.516051,0.517085,1011465809.7514726,0.001134956529003861,0.0005337986684745626,0.0006011578605292984
0.51699,0.519048,0.516315,0.518096,961693755.8177031,0.001506749614550107,0.0007285817615215584,0.0007781678530285485
0.519974,0.521164,0.519974,0.521164,915378168.6723068,0.0020056542076282158,0.0009841987714028927,0.0010214554362253231
0.520323,0.524277,0.520323,0.524277,886553230.7338727,0.002602957226924163,0.0013081557946646395,0.0012948014322595235
0.52355,0.524678,0.523462,0.524604,878837062.5351685,0.003064273141783369,0.001659557445894026,0.001404715695889343
0.524523,0.524523,0.522218,0.522218,756680750.1082495,0.0032111486097272657,0.001970001609774492,0.0012411469999527736
0.52675,0.529184,0.52675,0.528793,902575417.9018945,0.0037835063902555977,0.0023328203072696643,0.0014506860829859333
0.527895,0.529569,0.525771,0.527627,917510765.180628,0.004099707678557718,0.0026862895473885283,0.0014134181311691897
0.527032,0.527032,0.525189,0.525189,919326395.0332801,0.004115114643385431,0.0029721139299896636,0.0011430007133957677
0.525486,0.527658,0.525486,0.527658,912967024.1688048,0.004267857550744214,0.003231305719763479,0.0010365518309807349
0.526494,0.526494,0.522937,0.52449,919747445.6363403,0.004096414322900532,0.003404350441979819,0.0006920638809207133
0.524371,0.525573,0.524371,0.524986,913907800.5066993,0.003953227331227049,0.003514137494391156,0.00043908983683589326
0.524188,0.524188,0.520073,0.521912,916970748.4071075,0.003559514501098704,0.003523213667848112,3.630083325059175e-05
0.520165,0.522385,0.520165,0.522385,914588304.0902958,0.0032469288052259238,0.0034679529344730444,-0.0002210241292471206
0.521152,0.523557,0.521152,0.523466,923427784.469311,0.0030485191374109988,0.0033840616075823506,-0.0003355424701713518
0.522827,0.52402,0.522268,0.522268,922117192.1453139,0.0027654517210286,0.003260334241184741,-0.0004948825201561411
0.52137,0.522258,0.520068,0.520098,936474229.1566947,0.002343674527508721,0.003076995910041087,-0.0007333213825323659
0.520866,0.521654,0.518963,0.520599,946948085.9987963,0.002025524903244813,0.002866695846371663,-0.0008411709431268501
