open,high,low,close,volume,PP,R1,S1,R2,S2,R3,S3
0.509347,0.509347,0.508064,0.508654,2331066300.8191056,0.5086883333333333,0.5093126666666666,0.5080296666666666,0.5099713333333332,0.5074053333333333,0.5105956666666667,0.5067466666666666
0.508843,0.50988,0.508791,0.50988,2262941632.3969135,0.5095169999999999,0.5102429999999998,0.5091539999999998,0.5106059999999999,0.5084279999999999,0.5113319999999998,0.5080649999999998
0.510237,0.510783,0.510044,0.510044,2242189089.6503854,0.5102903333333334,0.5105366666666667,0.5097976666666668,0.5110293333333332,0.5095513333333335,0.5112756666666667,0.5090586666666669
0.510002,0.510071,0.508818,0.508818,2197593830.986553,0.5092356666666668,0.5096533333333335,0.5084003333333335,0.5104886666666668,0.5079826666666667,0.5109063333333336,0.5071473333333334
0.508758,0.509214,0.507737,0.507737,2017809141.5635839,0.5082293333333334,0.5087216666666668,0.5072446666666668,0.5097063333333335,0.5067523333333334,0.5101986666666669,0.5057676666666667
0.506689,0.506942,0.506514,0.506906,1831808186.9308496,0.5067873333333334,0.5070606666666667,0.5066326666666667,0.5072153333333335,0.5063593333333334,0.5074886666666667,0.5062046666666667
0.506397,0.508802,0.506397,0.508802,1715916232.5456026,0.5080003333333333,0.5096036666666666,0.5071986666666666,0.5104053333333332,0.5055953333333333,0.5120086666666666,0.5047936666666666
0.508358,0.508508,0.507501,0.507816,1537506010.005345,0.5079416666666666,0.5083823333333333,0.5073753333333333,0.5089486666666665,0.5069346666666666,0.5093893333333332,0.5063683333333333
0.507902,0.509136,0.507902,0.509136,1424069065.6998613,0.5087246666666666,0.5095473333333332,0.5083133333333332,0.5099586666666666,0.5074906666666665,0.5107813333333333,0.5070793333333331
0.509215,0.509606,0.50872,0.509606,1326566287.8977478,0.5093106666666667,0.5099013333333334,0.5090153333333334,0.5101966666666667,0.5084246666666666,0.5107873333333335,0.5081293333333333
0.510046,0.510055,0.508658,0.508658,1265608450.2646973,0.5091236666666666,0.5095893333333332,0.5081923333333332,0.5105206666666666,0.5077266666666667,0.5109863333333332,0.5067953333333333
0.50886,0.508929,0.508004,0.508004,1229281852.6673343,0.5083123333333334,0.5086206666666667,0.5076956666666668,0.5092373333333332,0.5073873333333334,0.5095456666666667,0.5067706666666668
0.508117,0.509202,0.507872,0.509202,1181216064.3897316,0.5087586666666667,0.5096453333333334,0.5083153333333333,0.5100886666666667,0.5074286666666666,0.5109753333333334,0.5069853333333333
0.509209,0.509209,0.506793,0.507027,1145253116.9174182,0.5076763333333334,0.5085596666666667,0.5061436666666668,0.5100923333333334,0.5052603333333334,0.5109756666666667,0.5037276666666668
0.507186,0.507777,0.50668,0.507777,1124805130.2696104,0.5074113333333333,0.5081426666666666,0.5070456666666666,0.5085083333333333,0.5063143333333333,0.5092396666666666,0.5059486666666666
0.508316,0.508765,0.507183,0.507183,1110589709.5038817,0.5077103333333334,0.5082376666666667,0.5066556666666667,0.5092923333333333,0.5061283333333334,0.5098196666666667,0.5050736666666668
0.507047,0.507289,0.506976,0.506976,1093426368.9357085,0.5070803333333332,0.5071846666666665,0.5068716666666665,0.5073933333333333,0.5067673333333332,0.5074976666666665,0.5065586666666665
0.507631,0.509393,0.507631,0.509393,1082274858.2765841,0.5088056666666667,0.5099803333333334,0.5082183333333334,0.5105676666666666,0.5070436666666668,0.5117423333333333,0.5064563333333335
0.50925,0.510312,0.509017,0.510312,1069822787.1248673,0.5098803333333333,0.5107436666666665,0.5094486666666665,0.5111753333333331,0.5085853333333333,0.5120386666666664,0.5081536666666666
0.51093,0.512103,0.51093,0.511857,1068075524.4239367,0.5116299999999999,0.5123299999999998,0.5111569999999999,0.512803,0.5104569999999999,0.5135029999999998,0.5099839999999999
0.511031,0.511769,0.510738,0.511769,1054381631.1351463,0.5114253333333334,0.5121126666666668,0.5110816666666668,0.5124563333333335,0.5103943333333334,0.5131436666666668,0.5100506666666668
0.511903,0.511903,0.510242,0.510242,1027174879.201805,0.5107956666666666,0.5113493333333333,0.5096883333333333,0.5124566666666667,0.5091346666666666,0.5130103333333333,0.5080273333333333
0.509347,0.510362,0.509347,0.510203,1006743616.1571406,0.5099706666666667,0.5105943333333334,0.5095793333333334,0.5109856666666666,0.5089556666666667,0.5116093333333334,0.5085643333333334
0.509309,0.51043,0.509309,0.509661,1007847733.141486,0.5097999999999999,0.5102909999999998,0.5091699999999998,0.510921,0.5086789999999999,0.5114119999999999,0.5080489999999998
0.50935,0.509935,0.509074,0.509935,1001245595.4871324,0.509648,0.510222,0.509361,0.5105089999999999,0.508787,0.511083,0.5085
0.510007,0.510007,0.50938,0.509654,996428525.4172299,0.5096803333333334,0.5099806666666667,0.5093536666666668,0.5103073333333333,0.5090533333333335,0.5106076666666667,0.5087266666666669
0.509747,0.510479,0.509747,0.5101,988291014.8626959,0.5101086666666667,0.5104703333333334,0.5097383333333333,0.5108406666666667,0.5093766666666666,0.5112023333333334,0.5090063333333332
0.51035,0.51035,0.509627,0.510143,975684966.3790787,0.5100399999999999,0.5104529999999998,0.5097299999999999,0.5107629999999999,0.509317,0.5111759999999997,0.509007
0.510637,0.516312,0.510637,0.515867,1007891095.0443413,0.5142720000000001,0.5179070000000001,0.5122320000000001,0.5199470000000002,0.5085970000000001,0.5235820000000001,0.5065570000000001
0.516385,0.517085,0.516051,0.517085,1011465809.7514726,0.5167403333333334,0.5174296666666667,0.5163956666666667,0.5177743333333333,0.5157063333333334,0.5184636666666667,0.5153616666666667
0.51699,0.519048,0.516315,0.518096,961693755.8177031,0.5178196666666666,0.5193243333333332,0.5165913333333332,0.5205526666666666,0.5150866666666666,0.5220573333333332,0.5138583333333332
0.519974,0.521164,0.519974,0.521164,915378168.6723068,0.5207673333333334,0.5215606666666667,0.5203706666666668,0.5219573333333333,0.5195773333333334,0.5227506666666666,0.5191806666666668
0.520323,0.524277,0.520323,0.524277,886553230.7338727,0.5229590000000001,0.5255950000000001,0.5216410000000001,0.5269130000000001,0.519005,0.5295490000000002,0.5176870000000001
0.52355,0.524678,0.523462,0.524604,878837062.5351685,0.524248,0.5250340000000001,0.5238180000000001,0.525464,0.523032,0.5262500000000001,0.5226020000000001
0.524523,0.524523,0.522218,0.522218,756680750.1082495,0.5229863333333333,0.5237546666666667,0.5214496666666667,0.5252913333333332,0.5206813333333333,0.5260596666666667,0.5191446666666667
0.52675,0.529184,0.52675,0.528793,902575417.9018945,0.5282423333333334,0.5297346666666667,0.5273006666666668,0.5306763333333333,0.5258083333333334,0.5321686666666666,0.5248666666666668
0.527895,0.529569,0.525771,0.527627,917510765.180628,0.5276556666666666,0.5295403333333333,0.5257423333333333,0.5314536666666665,0.5238576666666667,0.5333383333333332,0.5219443333333333
0.527032,0.527032,0.525189,0.525189,919326395.0332801,0.5258033333333333,0.5264176666666666,0.5245746666666666,0.5276463333333333,0.5239603333333334,0.5282606666666665,0.5227316666666667
0.525486,0.527658,0.525486,0.527658,912967024.1688048,0.526934,0.528382,0.5262100000000001,0.529106,0.5247620000000001,0.530554,0.5240380000000001
0.526494,0.526494,0.522937,0.52449,919747445.6363403,0.5246403333333333,0.5263436666666665,0.5227866666666665,0.5281973333333332,0.5210833333333332,0.5299006666666666,0.5192296666666665
0.524371,0.525573,0.524371,0.524986,913907800.5066993,0.5249766666666666,0.5255823333333333,0.5243803333333333,0.5261786666666665,0.5237746666666667,0.5267843333333332,0.5231783333333334
0.524188,0.524188,0.520073,0.521912,916970748.4071075,0.5220576666666666,0.5240423333333333,0.5199273333333333,0.5261726666666666,0.5179426666666667,0.5281573333333333,0.5158123333333333
0.520165,0.522385,0.520165,0.522385,914588304.0902958,0.5216449999999999,0.5231249999999998,0.5209049999999998,0.5238649999999998,0.5194249999999999,0.5253449999999998,0.5186849999999998
0.521152,0.523557,0.521152,0.523466,923427784.469311,0.522725,0.524298,0.5218929999999999,0.5251300000000002,0.5203199999999999,0.5267030000000001,0.5194879999999998
0.522827,0.52402,0.522268,0.522268,922117192.1453139,0.522852,0.523436,0.5216839999999999,0.5246040000000001,0.5210999999999999,0.5251880000000001,0.5199319999999998
0.52137,0.522258,0.520068,0.520098,936474229.1566947,0.520808,0.5215480000000001,0.5193580000000001,0.5229980000000001,0.518618,0.5237380000000001,0.5171680000000001
0.520866,0.521654,0.518963,0.520599,946948085.9987963,0.5204053333333333,0.5218476666666666,0.5191566666666666,0.5230963333333333,0.5177143333333333,0.5245386666666666,0.5164656666666666
